device,ai_model,runtime,inference_time,minimum_memory_usage,maximum_memory_usage,compute_units,test_date,notes
Google Pixel 8 Pro,segformer_base,tflite,46.514,11,27,543,,
Google Pixel 8 Pro,sinet,tflite,11.812,3,18,222,,
Google Pixel 8,ddrnet23_slim,tflite,12.935,1,16,131,,
Google Pixel 8,deeplabv3_plus_mobilenet_quantized,tflite,6.558,2,19,136,,
Google Pixel 8,deeplabv3_plus_mobilenet,tflite,36.407,2,15,101,,
Google Pixel 8,deeplabv3_resnet50,tflite,354.987,23,37,100,,
Google Pixel 8,fastsam_s,tflite,53.034,6,26,287,,
Google Pixel 8,fastsam_x,tflite,211.934,6,30,419,,
Google Pixel 8,fcn_resnet50_quantized,tflite,75.388,2,15,90,,
Google Pixel 8,fcn_resnet50,tflite,234.56,23,46,88,,
Google Pixel 8,ffnet_40s_quantized,tflite,14.054,1,18,96,,
Google Pixel 8,ffnet_40s,tflite,35.931,3,19,94,,
Google Pixel 8,ffnet_54s_quantized,tflite,17.722,1,18,117,,
Google Pixel 8,ffnet_54s,tflite,42.146,3,18,115,,
Google Pixel 8,ffnet_78s_lowres,tflite,17.182,7,23,151,,
Google Pixel 8,ffnet_78s_quantized,tflite,21.493,1,18,153,,
Google Pixel 8,ffnet_78s,tflite,50.29,3,18,151,,
Google Pixel 8,ffnet_122ns_lowres,tflite,15.111,7,22,218,,
Google Pixel 8,mask2former,tflite,1534.324,163,184,3223,,
Google Pixel 8,mediapipe_selfie,tflite,0.809,1,20,118,,
Google Pixel 8,pidnet,tflite,511.457,75,92,169,,
Google Pixel 8,segformer_base,tflite,46.927,10,28,543,,
Google Pixel 8,sinet,tflite,7.346,3,20,222,,
Google Pixel 8,unet_segmentation,tflite,538.094,7,55,32,,
Google Pixel 7,ddrnet23_slim,tflite,11.884,1,19,131,,
Google Pixel 7,deeplabv3_plus_mobilenet_quantized,tflite,13.632,2,19,136,,
Google Pixel 7,deeplabv3_plus_mobilenet,tflite,27.882,2,19,101,,
Google Pixel 7,deeplabv3_resnet50,tflite,467.106,23,45,100,,
Google Pixel 7,fastsam_s,tflite,19.82,5,21,287,,
Google Pixel 7,fastsam_x,tflite,146.467,5,20,419,,
Google Pixel 7,fcn_resnet50_quantized,tflite,328.655,31,49,90,,
Google Pixel 7,fcn_resnet50,tflite,309.399,23,38,88,,
Google Pixel 7,ffnet_40s_quantized,tflite,24.144,1,18,96,,
Google Pixel 7,ffnet_40s,tflite,92.378,3,18,94,,
Google Pixel 7,ffnet_54s_quantized,tflite,28.607,1,18,117,,
Google Pixel 7,ffnet_54s,tflite,119.381,3,19,115,,
Google Pixel 7,ffnet_78s_lowres,tflite,18.335,7,23,151,,
Google Pixel 7,ffnet_78s_quantized,tflite,35.055,1,18,153,,
Google Pixel 7,ffnet_78s,tflite,124.314,3,17,151,,
Google Pixel 7,ffnet_122ns_lowres,tflite,14.07,7,24,218,,
Google Pixel 7,mask2former,tflite,1564.125,47,67,3223,,
Google Pixel 7,mediapipe_selfie,tflite,0.861,1,24,118,,
Google Pixel 7,pidnet,tflite,452.283,75,91,169,,
Google Pixel 7,segformer_base,tflite,54.186,10,29,543,,
Google Pixel 7,sinet,tflite,9.048,3,20,222,,
Google Pixel 7,unet_segmentation,tflite,1446.512,1,15,32,,
Samsung Galaxy A53 5G,sinet,tflite,12.837,2,24,222,,
Samsung Galaxy A53 5G,segformer_base,tflite,540.674,35,54,543,,
Samsung Galaxy A53 5G,pidnet,tflite,749.468,116,141,169,,
Samsung Galaxy A53 5G,mediapipe_selfie,tflite,3.898,1,20,118,,
Samsung Galaxy A53 5G,mask2former,tflite,3654.027,48,72,3223,,
Samsung Galaxy A53 5G,ffnet_122ns_lowres,tflite,114.747,7,32,218,,
Samsung Galaxy A53 5G,ffnet_78s,tflite,385.83,3,34,151,,
Samsung Galaxy A53 5G,ffnet_78s_quantized,tflite,419.12,28,59,153,,
Samsung Galaxy A53 5G,ffnet_78s_lowres,tflite,136.546,7,30,151,,
Samsung Galaxy A53 5G,ffnet_54s,tflite,302.535,3,24,115,,
Samsung Galaxy A53 5G,ffnet_54s_quantized,tflite,335.301,28,49,117,,
Samsung Galaxy A53 5G,ffnet_40s,tflite,283.928,1,20,94,,
Samsung Galaxy A53 5G,ffnet_40s_quantized,tflite,297.197,28,57,96,,
Samsung Galaxy A53 5G,fcn_resnet50,tflite,1041.772,4,29,88,,
Samsung Galaxy A53 5G,fcn_resnet50_quantized,tflite,1069.567,26,47,90,,
Samsung Galaxy A53 5G,fastsam_x,tflite,690.909,6,41,419,,
Samsung Galaxy A53 5G,fastsam_s,tflite,140.65,6,29,287,,
Samsung Galaxy A53 5G,deeplabv3_plus_mobilenet,tflite,140.622,23,46,101,,
Samsung Galaxy A53 5G,deeplabv3_plus_mobilenet_quantized,tflite,142.327,31,53,136,,
Samsung Galaxy A53 5G,ddrnet23_slim,tflite,90.779,2,22,131,,
Snapdragon 8 Elite QRD,unet_segmentation,onnx,98.222,27,119,53,,
Snapdragon 8 Elite QRD,sinet,onnx,1.53,1,24,231,,
Snapdragon 8 Elite QRD,segformer_base,onnx,90.895,1,41,448,,
Snapdragon 8 Elite QRD,sam,onnx,4.669,0,58,871,,
Snapdragon 8 Elite QRD,sam-samdecoder,onnx,4.685,1,58,871,,
Snapdragon 8 Elite QRD,pidnet,onnx,22.567,24,78,208,,
Snapdragon 8 Elite QRD,mediapipe_selfie,onnx,0.545,1,21,140,,
Snapdragon 8 Elite QRD,hrnet_w48_ocr,onnx,50550.118,25,512,829,,
Snapdragon 8 Elite QRD,ffnet_122ns_lowres,onnx,5.853,7,41,352,,
Snapdragon 8 Elite QRD,ffnet_78s,onnx,26.227,29,79,239,,
Snapdragon 8 Elite QRD,ffnet_78s_quantized,onnx,7.259,9,78,150,,
Snapdragon 8 Elite QRD,ffnet_78s_lowres,onnx,5.594,9,42,240,,
Snapdragon 8 Elite QRD,ffnet_54s,onnx,20.311,28,74,179,,
Snapdragon 8 Elite QRD,ffnet_54s_quantized,onnx,6.658,6,64,114,,
Snapdragon 8 Elite QRD,ffnet_40s,onnx,21.469,28,73,144,,
Snapdragon 8 Elite QRD,ffnet_40s_quantized,onnx,6.141,7,59,93,,
Snapdragon 8 Elite QRD,fcn_resnet50,onnx,26.745,4,105,130,,
Snapdragon 8 Elite QRD,fcn_resnet50_quantized,onnx,10.719,1,60,81,,
Snapdragon 8 Elite QRD,fastsam_x,onnx,30.095,7,64,421,,
Snapdragon 8 Elite QRD,fastsam_s,onnx,4.797,17,55,289,,
Snapdragon 8 Elite QRD,efficientvit_l2_seg,onnx,1311.038,105,2673,758,,
Snapdragon 8 Elite QRD,deeplabv3_plus_mobilenet,onnx,7.555,4,36,127,,
Snapdragon 8 Elite QRD,deeplabv3_plus_mobilenet_quantized,onnx,53.843,90,233,425,,
Snapdragon 8 Elite QRD,ddrnet23_slim,onnx,4.008,3,46,155,,
